,주소,유동인구
133,충청북도 음성군 생극면 팔성리 산68,0
134,충청북도 음성군 생극면 팔성리 산65-3,11
135,충청북도 음성군 생극면 임곡길,32
136,충청북도 음성군 생극면 팔성리 산23,0
137,충청북도 음성군 생극면 팔성리 95-10,7
138,충청북도 음성군 생극면 팔성리,0
139,충청북도 음성군 생극면 팔성리 857,0
140,충청북도 음성군 생극면 팔성리,0
141,충청북도 음성군 생극면 팔성리,0
142,충청북도 음성군 생극면 팔성리,0
143,충청북도 음성군 생극면 팔성리 산37,0
144,충청북도 음성군 생극면 팔성리 321-7,2
145,충청북도 음성군 생극면 병암길,0
146,충청북도 음성군 생극면 팔성리 376-6,0
147,충청북도 음성군 생극면 팔성리 801,0
148,충청북도 음성군 생극면 팔성리,0
149,충청북도 음성군 생극면 팔성리 산68-2,1
150,충청북도 음성군 생극면 토끼실길,0
151,충청북도 음성군 생극면 일생로,5
152,충청북도 음성군 생극면 토끼실길,0
153,충청북도 음성군 생극면 일생로,5
154,충청북도 음성군 생극면 팔성리,0
155,충청북도 음성군 생극면 팔성리 641,3
156,충청북도 음성군 생극면 팔성리 65-13,0
157,충청북도 음성군 생극면 팔성리,0
158,충청북도 음성군 생극면 팔성리 산67-4,0
159,충청북도 음성군 생극면 일생로,5
160,충청북도 음성군 생극면 일생로,5
161,충청북도 음성군 생극면 팔성리,0
162,충청북도 음성군 생극면 일생로,5
163,충청북도 음성군 생극면 팔성리 654-1,0
164,충청북도 음성군 생극면 팔성리 752,0
165,충청북도 음성군 생극면 병암길,0
166,충청북도 음성군 생극면 팔성리 832-3,0
167,충청북도 음성군 생극면 팔성리 58,0
168,충청북도 음성군 생극면 팔성리 228-3,1
169,충청북도 음성군 생극면 팔성리,0
170,충청북도 음성군 생극면 일생로,5
171,충청북도 음성군 생극면 팔성리 산16,2
172,충청북도 음성군 생극면 일생로,5
173,충청북도 음성군 생극면 팔성리 590,0
174,충청북도 음성군 생극면 팔성리 918-50,2
175,충청북도 음성군 생극면 팔성리,0
176,충청북도 음성군 생극면 팔성리 523-2,0
177,충청북도 음성군 생극면 팔성리 27,0
178,충청북도 음성군 생극면 팔성리,0
179,충청북도 음성군 생극면 일생로,5
180,충청북도 음성군 생극면 팔성리 61-2,0
181,충청북도 음성군 생극면 팔성리 197-1,0
182,충청북도 음성군 생극면 팔성리 487-3,0
183,충청북도 음성군 생극면 임곡길,32
184,충청북도 음성군 생극면 팔성리 757-2,0
185,충청북도 음성군 생극면 팔성리 26-1,3
186,충청북도 음성군 생극면 토끼실길,0
187,충청북도 음성군 생극면 팔성리 441,0
188,충청북도 음성군 생극면 팔성리 812-8,0
189,충청북도 음성군 생극면 팔성리 806,0
190,충청북도 음성군 생극면 팔성리 51-2,0
191,충청북도 음성군 생극면 팔성리,0
192,충청북도 음성군 생극면 팔성리 226-2,3
193,충청북도 음성군 생극면 팔성리 967,0
194,충청북도 음성군 생극면 팔성리,0
195,충청북도 음성군 생극면 팔성리,0
196,충청북도 음성군 생극면 팔성리,0
197,충청북도 음성군 생극면 팔성리,0
198,충청북도 음성군 생극면 일생로 621,0
199,충청북도 음성군 생극면 팔성리,0
200,충청북도 음성군 생극면 팔성리,0
201,충청북도 음성군 생극면 팔성리 175-1,4
202,충청북도 음성군 생극면 임곡길,32
203,충청북도 음성군 생극면 팔성리 675,0
204,충청북도 음성군 생극면 일생로,5
205,충청북도 음성군 생극면 팔성리,0
206,충청북도 음성군 생극면 일생로,5
207,충청북도 음성군 생극면 팔성리,0
208,충청북도 음성군 생극면 팔성리 347-3,0
209,충청북도 음성군 생극면 일생로,5
210,충청북도 음성군 생극면 팔성리 716-1,0
211,충청북도 음성군 생극면 팔성리 204,0
212,충청북도 음성군 생극면 팔성리 산5-1,0
213,충청북도 음성군 생극면 팔성리,0
214,충청북도 음성군 생극면 팔성리,0
215,충청북도 음성군 생극면 팔성리 485-3,0
216,충청북도 음성군 생극면 토끼실길,0
217,충청북도 음성군 생극면 팔성리 산62-3,0
218,충청북도 음성군 생극면 팔성리 383,0
219,충청북도 음성군 생극면 팔성리,0
220,충청북도 음성군 생극면 팔성리 847,0
221,충청북도 음성군 생극면 팔성리,0
222,충청북도 음성군 생극면 팔성리,0
223,충청북도 음성군 생극면 팔성리,0
224,충청북도 음성군 생극면 팔성리 산61,0
225,충청북도 음성군 생극면 토끼실길,0
226,충청북도 음성군 생극면 차평리 683-2,1
227,충청북도 음성군 생극면 팔성리 986,1
228,충청북도 음성군 생극면 팔성리,0
229,충청북도 음성군 생극면 팔성리 247-3,1
230,충청북도 음성군 생극면 팔성리 415-2,0
231,충청북도 음성군 생극면 팔성리 409-1,1
232,충청북도 음성군 생극면 팔성리 587-1,0
233,충청북도 음성군 생극면 팔성리 917,0
234,충청북도 음성군 원남면 조촌리 671-2,0
235,충청북도 음성군 원남면 조촌리 174-3,0
236,충청북도 음성군 원남면 조촌리 584-6,16
237,충청북도 음성군 원남면 조촌리 123-1,16
238,충청북도 음성군 원남면 조촌리 산15-3,1
239,충청북도 음성군 원남면 조촌리 787,0
240,충청북도 음성군 원남면 조촌리 561-2,2
241,충청북도 음성군 원남면 조촌리 594,4
242,충청북도 음성군 원남면 조촌리,0
243,충청북도 음성군 원남면 조촌리 646-2,0
244,충청북도 음성군 원남면 원중로,48
245,충청북도 음성군 원남면 조촌리 134-2,48
246,충청북도 음성군 원남면 조촌리,0
247,충청북도 음성군 원남면 원중로 294-7,27
248,충청북도 음성군 원남면 조촌리 922,0
249,충청북도 음성군 원남면 조촌리 산93,0
250,충청북도 음성군 원남면 조촌리 산191,0
251,충청북도 음성군 원남면 원중로,48
252,충청북도 음성군 원남면 조촌리 792-2,1
253,충청북도 음성군 원남면 조촌리 376-5,27
254,충청북도 음성군 원남면 조촌리 1388-7,2
255,충청북도 음성군 원남면 원중로 306-3,4
256,충청북도 음성군 원남면 조촌리 1458-2,3
257,충청북도 음성군 원남면 조촌리 365,0
258,충청북도 음성군 원남면 조촌리 544-1,0
259,충청북도 음성군 원남면 조촌리 370-1,25
260,충청북도 음성군 원남면 조촌리 915,0
261,충청북도 음성군 원남면 원중로 436-10,4
262,충청북도 음성군 원남면 조촌리 717-1,0
263,충청북도 음성군 원남면 조촌리 산3-1,0
264,충청북도 음성군 원남면 조촌리 557-2,0
265,충청북도 음성군 원남면 조촌리 110-2,0
266,충청북도 음성군 원남면 원중로 278-3,10
267,충청북도 음성군 원남면 조촌리 산64-1,0
268,충청북도 음성군 원남면 원중로417번길 19,5
269,충청북도 음성군 원남면 조촌리 489,1
270,충청북도 음성군 원남면 조촌리,0
271,충청북도 음성군 원남면 조촌리 925,0
272,충청북도 음성군 원남면 조촌리 1169,0
273,충청북도 음성군 원남면 조촌리 산21-2,0
274,충청북도 음성군 원남면 원중로,48
275,충청북도 증평군 도안면 연촌리,0
276,충청북도 음성군 원남면 조촌리 474,0
277,충청북도 음성군 원남면 원중로399번길,2
278,충청북도 음성군 원남면 조촌리,0
279,충청북도 음성군 원남면 조촌리 13-2,0
280,충청북도 음성군 원남면 조촌리,0
281,충청북도 음성군 원남면 원중로,48
282,충청북도 음성군 원남면 조촌리,0
283,충청북도 음성군 원남면 조촌리,0
284,충청북도 음성군 원남면 조촌리,0
285,충청북도 음성군 원남면 조촌리,0
286,충청북도 음성군 원남면 조촌리,0
287,충청북도 음성군 원남면 조촌리,0
288,충청북도 음성군 원남면 조촌리,0
289,충청북도 음성군 원남면 조촌리,0
290,충청북도 음성군 원남면 조촌리,0
291,충청북도 음성군 원남면 조촌리,0
292,충청북도 음성군 원남면 조촌리,0
293,충청북도 음성군 원남면 조촌리,0
294,충청북도 음성군 원남면 조촌리,0
295,충청북도 음성군 원남면 조촌리,0
296,충청북도 음성군 원남면 원중로399번길,2
297,충청북도 음성군 원남면 조촌리,0
298,충청북도 음성군 원남면 조촌리 768-1,0
299,충청북도 음성군 원남면 문암리,1
300,충청북도 음성군 원남면 조촌리 500,15
301,충청북도 음성군 원남면 조촌리,0
302,충청북도 음성군 원남면 조촌리,0
303,충청북도 음성군 원남면 조촌리,0
304,충청북도 음성군 원남면 조촌리 325,0
305,충청북도 음성군 원남면 조촌리 715,0
306,충청북도 음성군 원남면 조촌리 1269,0
307,충청북도 음성군 원남면 조촌리,0
308,충청북도 음성군 원남면 조촌리,0
309,충청북도 음성군 원남면 조촌리 379-2,0
310,충청북도 음성군 원남면 조촌리 821,1
311,충청북도 음성군 원남면 조촌리,0
312,충청북도 음성군 원남면 조촌리 1421-1,0
313,충청북도 음성군 원남면 조촌리 산170,0
314,충청북도 음성군 원남면 원중로399번길,2
315,충청북도 음성군 원남면 조촌리 794-1,0
316,충청북도 음성군 원남면 조촌리 산123-1,12
317,충청북도 음성군 원남면 조촌리,0
318,충청북도 음성군 원남면 조촌리,0
319,충청북도 음성군 원남면 조촌리,0
320,충청북도 음성군 원남면 조촌리,0
321,충청북도 음성군 원남면 원중로399번길,2
322,충청북도 음성군 원남면 원중로,48
323,충청북도 음성군 원남면 조촌리,0
324,충청북도 음성군 원남면 조촌리,0
325,충청북도 음성군 원남면 원중로399번길,2
326,충청북도 음성군 원남면 조촌리,0
327,충청북도 음성군 원남면 원중로399번길,2
328,충청북도 음성군 원남면 원중로399번길,2
329,충청북도 음성군 원남면 원중로399번길,2
330,충청북도 음성군 원남면 원중로399번길,2
331,충청북도 음성군 원남면 조촌리 산150,0
332,충청북도 음성군 원남면 조촌리 892-2,0
333,VJGF+54Q 음성군 충청북도,0
334,충청북도 음성군 원남면 원중로399번길,2
335,충청북도 음성군 원남면 조촌리 산139,0
336,충청북도 음성군 원남면 조촌리,0
337,충청북도 음성군 원남면 조촌리 746,0
338,충청북도 음성군 원남면 원중로,48
339,충청북도 음성군 원남면 원중로,48
340,충청북도 음성군 원남면 조촌리,0
341,충청북도 음성군 원남면 조촌리,0
342,충청북도 음성군 원남면 원중로399번길,2
343,충청북도 음성군 원남면 원중로,48
344,충청북도 음성군 원남면 조촌리,0
345,충청북도 음성군 원남면 조촌리,0
346,충청북도 음성군 원남면 조촌리,0
347,충청북도 음성군 원남면 원중로399번길,2
348,충청북도 음성군 원남면 조촌리,0
349,충청북도 음성군 원남면 조촌리,0
350,충청북도 음성군 원남면 조촌리,0
351,충청북도 음성군 원남면 조촌리,0
352,충청북도 음성군 원남면 조촌리,0
353,충청북도 음성군 원남면 조촌리,0
354,충청북도 음성군 원남면 조촌리 산210-2,0
355,충청북도 음성군 원남면 원중로,48
356,충청북도 음성군 원남면 원중로399번길,2
357,충청북도 음성군 원남면 조촌리 604-1,11
358,충청북도 음성군 원남면 조촌리,0
359,충청북도 음성군 원남면 조촌리,0
360,충청북도 음성군 원남면 원중로399번길,2
361,충청북도 음성군 원남면 원중로,48
362,충청북도 음성군 원남면 조촌리 507,1
363,충청북도 음성군 원남면 조촌리,0
364,충청북도 음성군 원남면 원중로399번길,2
365,충청북도 음성군 원남면 조촌리,0
366,충청북도 음성군 원남면 조촌리,0
367,충청북도 음성군 원남면 문암리,1
368,충청북도 음성군 원남면 조촌리,0
369,충청북도 음성군 원남면 조촌리,0
370,충청북도 음성군 원남면 조촌리,0
371,충청북도 음성군 원남면 조촌리,0
372,충청북도 음성군 원남면 조촌리,0
373,충청북도 음성군 원남면 조촌리,0
374,충청북도 음성군 원남면 원중로,48
375,충청북도 음성군 원남면 조촌리,0
376,충청북도 음성군 원남면 조촌리,0
377,충청북도 음성군 원남면 조촌리,0
378,충청북도 음성군 원남면 원중로,48
379,충청북도 음성군 원남면 조촌리,0
380,충청북도 음성군 원남면 조촌리,0
381,충청북도 음성군 원남면 조촌리,0
382,충청북도 음성군 원남면 조촌리 350,0
383,충청북도 음성군 원남면 원중로,48
384,충청북도 음성군 원남면 조촌리 1383,0
385,충청북도 음성군 원남면 조촌리,0
386,충청북도 음성군 원남면 조촌리,0
387,충청북도 음성군 원남면 조촌리 518-6,0
388,충청북도 음성군 원남면 조촌리,0
389,충청북도 음성군 원남면 조촌리,0
390,충청북도 음성군 원남면 조촌리,0
391,충청북도 음성군 원남면 조촌리,0
392,충청북도 음성군 원남면 조촌리,0
393,충청북도 음성군 원남면 원중로399번길,2
394,충청북도 음성군 원남면 조촌리 산128-3,0
395,충청북도 음성군 원남면 조촌리,0
396,충청북도 음성군 원남면 조촌리 산89,1
397,충청북도 음성군 원남면 조촌리,0
398,충청북도 음성군 원남면 조촌리 620,0
399,충청북도 음성군 원남면 조촌리,0
400,충청북도 음성군 원남면 조촌리 산13,0
401,충청북도 음성군 원남면 조촌리,0
402,충청북도 음성군 원남면 조촌리,0
403,충청북도 음성군 원남면 조촌리 376,0
404,충청북도 음성군 원남면 조촌리,0
405,충청북도 음성군 원남면 원중로,48
406,충청북도 음성군 원남면 조촌리,0
407,충청북도 음성군 원남면 조촌리,0
408,충청북도 음성군 원남면 조촌리 1141,0
409,충청북도 음성군 원남면 조촌리 3,0
410,충청북도 음성군 원남면 조촌리,0
411,충청북도 음성군 원남면 원중로,48
412,충청북도 음성군 원남면 조촌리,0
413,충청북도 음성군 원남면 조촌리 409-8,0
414,충청북도 음성군 원남면 조촌리 1173,0
415,충청북도 음성군 원남면 조촌리,0
416,충청북도 음성군 원남면 조촌리 339,0
417,충청북도 음성군 원남면 조촌리,0
418,충청북도 음성군 원남면 조촌리,0
419,충청북도 음성군 원남면 원중로,48
420,충청북도 음성군 원남면 조촌리 1189,0
421,충청북도 음성군 원남면 조촌리 699,0
422,충청북도 음성군 원남면 조촌리,0
423,충청북도 음성군 원남면 조촌리,0
424,충청북도 음성군 원남면 조촌리,0
425,충청북도 음성군 원남면 조촌리,0
426,충청북도 음성군 원남면 조촌리,0
427,충청북도 음성군 원남면 원중로399번길,2
428,충청북도 음성군 원남면 원중로,48
429,충청북도 음성군 원남면 조촌리,0
430,충청북도 진천군 초평면 신통리,0
431,충청북도 음성군 원남면 조촌리 1401,20
432,충청북도 음성군 원남면 조촌리,0
433,충청북도 음성군 원남면 조촌리 15-2,1
434,충청북도 음성군 원남면 조촌리,0
435,충청북도 음성군 원남면 원중로399번길,2
436,충청북도 음성군 원남면 조촌리,0
437,충청북도 음성군 원남면 조촌리,0
438,충청북도 음성군 원남면 조촌리,0
439,충청북도 음성군 원남면 조촌리,0
440,충청북도 음성군 원남면 원중로,48
441,충청북도 음성군 원남면 조촌리,0
442,충청북도 음성군 원남면 조촌리 산125,0
443,충청북도 음성군 원남면 원중로,48
444,충청북도 음성군 원남면 원중로399번길,2
445,충청북도 음성군 원남면 조촌리,0
446,충청북도 음성군 원남면 원중로399번길,2
447,충청북도 음성군 원남면 원중로399번길,2
448,충청북도 음성군 원남면 조촌리 889,2
449,충청북도 음성군 원남면 조촌리,0
450,충청북도 음성군 원남면 조촌리,0
451,충청북도 음성군 원남면 조촌리 76-2,0
452,충청북도 증평군 도안면 연촌리,0
453,충청북도 음성군 원남면 원중로399번길,2
454,충청북도 음성군 원남면 원중로,48
455,충청북도 음성군 원남면 조촌리 산195-2,34
456,충청북도 음성군 원남면 조촌리,0
457,충청북도 음성군 원남면 문암리,1
458,충청북도 음성군 원남면 조촌리 산167,0
459,충청북도 음성군 원남면 조촌리,0
460,충청북도 음성군 원남면 조촌리,0
461,충청북도 음성군 원남면 조촌리 672,0
462,충청북도 음성군 원남면 조촌리,0
463,충청북도 음성군 원남면 조촌리,0
464,충청북도 음성군 원남면 조촌리 38,0
465,충청북도 음성군 원남면 원중로399번길,2
466,충청북도 음성군 원남면 조촌리,0
467,충청북도 음성군 원남면 조촌리,0
468,충청북도 음성군 원남면 조촌리,0
469,충청북도 음성군 원남면 조촌리 산8,0
470,충청북도 음성군 원남면 원중로,48
471,충청북도 음성군 원남면 원중로399번길,2
472,충청북도 음성군 원남면 조촌리 447,0
473,충청북도 음성군 원남면 조촌리,0
474,충청북도 음성군 원남면 원중로399번길,2
475,충청북도 음성군 원남면 조촌리,0
476,충청북도 음성군 원남면 조촌리,0
477,충청북도 음성군 원남면 조촌리,0
478,충청북도 음성군 원남면 조촌리 477-2,0
479,충청북도 음성군 원남면 조촌리 509,8
480,충청북도 음성군 원남면 조촌리,0
481,충청북도 음성군 원남면 조촌리,0
482,충청북도 음성군 원남면 조촌리,0
483,충청북도 음성군 원남면 원중로,48
484,충청북도 음성군 원남면 조촌리,0
485,충청북도 음성군 원남면 조촌리,0
486,충청북도 진천군 초평면 신통리,0
487,충청북도 음성군 원남면 조촌리,0
488,충청북도 음성군 원남면 원중로,48
489,충청북도 음성군 원남면 원중로399번길,2
490,충청북도 증평군 도안면 연촌리,0
491,충청북도 음성군 원남면 조촌리,0
492,충청북도 음성군 원남면 조촌리,0
493,충청북도 음성군 원남면 조촌리 390-5,2
494,충청북도 음성군 원남면 조촌리,0
495,충청북도 음성군 원남면 조촌리 340,0
496,충청북도 음성군 원남면 조촌리,0
497,충청북도 음성군 원남면 조촌리,0
498,충청북도 음성군 원남면 보천리,1
499,충청북도 음성군 원남면 조촌리,0
500,충청북도 음성군 원남면 조촌리,0
501,충청북도 음성군 원남면 조촌리,0
502,충청북도 음성군 원남면 조촌리,0
503,충청북도 음성군 원남면 조촌리,0
504,충청북도 음성군 원남면 조촌리,0
505,충청북도 음성군 원남면 조촌리,0
506,충청북도 음성군 원남면 조촌리 1148-1,0
507,충청북도 음성군 원남면 조촌리,0
508,충청북도 음성군 원남면 조촌리,0
509,충청북도 음성군 원남면 조촌리 산186,0
510,충청북도 음성군 원남면 조촌리 산28,0
511,충청북도 음성군 원남면 조촌리,0
512,충청북도 음성군 원남면 조촌리,0
513,충청북도 음성군 원남면 조촌리,0
514,충청북도 음성군 원남면 조촌리,0
515,충청북도 음성군 원남면 원중로399번길,2
516,충청북도 음성군 원남면 조촌리 75-2,0
517,충청북도 음성군 원남면 조촌리,0
518,충청북도 음성군 원남면 원중로,48
519,충청북도 음성군 원남면 조촌리,0
520,충청북도 음성군 원남면 조촌리 918,0
521,충청북도 음성군 원남면 원중로,48
522,충청북도 음성군 원남면 조촌리,0
523,충청북도 음성군 원남면 조촌리 산212,0
524,충청북도 음성군 원남면 조촌리 산63,1
525,충청북도 음성군 원남면 조촌리 678,0
526,충청북도 음성군 원남면 조촌리,0
527,충청북도 음성군 원남면 조촌리,0
528,충청북도 음성군 원남면 조촌리,0
