법정동�,총인구�,공공와�,고령인�,기초생�,평균소�,프렌차�,법정동�_1,일반인�,고령��_1,기초��_1,정보화�,kmedoids,gid,x,y
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮052815,127.5589524114,36.9323105000
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮048819,127.5544633666,36.9359184547
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮062818,127.5701839147,36.9350087532
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮042816,127.5477239466,36.9332169953
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮047820,127.5533410393,36.9368204166
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮062817,127.5701830881,36.9341073009
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮043819,127.5488485885,36.9359208966
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮045815,127.5510920930,36.9323141411
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮048814,127.5544601597,36.9314111914
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮041817,127.5466015794,36.9341188939
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮057815,127.5645669237,36.9323075807
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮045820,127.5510951016,36.9368214040
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮048818,127.5544627252,36.9350170023
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮036816,127.5409864500,36.9332195112
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮051817,127.5578308709,36.9341139573
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮046820,127.5522180705,36.9368209156
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮043818,127.5488480132,36.9350194441
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮049819,127.5555863221,36.9359179345
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮042820,127.5477261949,36.9368228055
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮048816,127.5544614424,36.9332140971
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮038817,127.5432327914,36.9341201679
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮048821,127.5544646496,36.9377213590
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮043817,127.5488474379,36.9341179915
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮047819,127.5533404110,36.9359189643
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,0.549783550000000,0.441558442000000,0.008658009000000,0.794909091000000,"2",쇰컮059817,127.5668143020,36.9341092437
