법정동�,총인구�,공공와�,고령인�,기초생�,평균소�,프렌차�,법정동�_1,일반인구비율,고령인구비율,기초생활수급자비율,정보화수준_역량
"4377033023","231.00",0.000000000000000,102.000000000000000,"2",2112.630000000000109,0.000000000000000,마산리,"0.54978355","0.441558442","0.008658009","0.794909091"
"4377032030","295.00",0.000000000000000,152.000000000000000,"1",1737.019999999999982,0.000000000000000,문암리,"0.481355932","0.515254237","0.003389831","0.761183051"
"4377034026","302.00",0.000000000000000,108.000000000000000,"1",1473.059999999999945,0.000000000000000,수태리,"0.639072848","0.357615894","0.003311258","0.834175497"
"4377031027","285.00",1.000000000000000,139.000000000000000,"1",2185.760000000000218,0.000000000000000,금고리,"0.50877193","0.487719298","0.003508772","0.773922807"
"4377025029","3602.00",5.000000000000000,809.000000000000000,"1",3564.579999999999927,3.000000000000000,신천리,"0.775124931","0.224597446","0.000277624","0.895990561"
"4377025342","240.00",0.000000000000000,98.000000000000000,"1",1685.829999999999927,0.000000000000000,행제리,"0.5875","0.408333333","0.004166667","0.810629167"
"4377025334","272.00",0.000000000000000,112.000000000000000,"0",1769.539999999999964,1.000000000000000,호산리,"0.588235294","0.411764706","0","0.809352941"
"4377034028","142.00",0.000000000000000,55.000000000000000,"0",1521.619999999999891,0.000000000000000,미곡리,"0.612676056","0.387323944","0","0.820669014"
"4377035028","397.00",0.000000000000000,128.000000000000000,"0",2180.119999999999891,0.000000000000000,선정리,"0.677581864","0.322418136","0","0.850720403"
"4377036022","513.00",0.000000000000000,155.000000000000000,"1",1897.190000000000055,0.000000000000000,병암리,"0.695906433","0.30214425","0.001949318","0.859961014"
"4377025024","290.00",0.000000000000000,147.000000000000000,"0",1925.210000000000036,0.000000000000000,한벌리,"0.493103448","0.506896552","0","0.765306897"
"4377025328","171.00",0.000000000000000,70.000000000000000,"1",1652.960000000000036,1.000000000000000,유촌리,"0.584795322","0.409356725","0.005847953","0.81002924"
"4377025023","159.00",0.000000000000000,83.000000000000000,"0",1847.119999999999891,0.000000000000000,석인리,"0.477987421","0.522012579","0","0.758308176"
"4377025027","132.00",0.000000000000000,71.000000000000000,"0",1986.720000000000027,0.000000000000000,감우리,"0.462121212","0.537878788","0","0.750962121"
"4377025330","413.00",0.000000000000000,133.000000000000000,"0",2403.250000000000000,1.000000000000000,본대리,"0.677966102","0.322033898","0","0.850898305"
"4377025025","965.00",0.000000000000000,354.000000000000000,"1",2054.920000000000073,0.000000000000000,용산리,"0.632124352","0.366839378","0.001036269","0.830075648"
"4377033024","262.00",1.000000000000000,108.000000000000000,"0",1982.589999999999918,0.000000000000000,봉현리,"0.58778626","0.41221374","0","0.809145038"
"4377025329","115.00",0.000000000000000,55.000000000000000,"2",1754.250000000000000,0.000000000000000,신평리,"0.504347826","0.47826087","0.017391304","0.77726087"
"4377035021","3325.00",12.000000000000000,781.000000000000000,"4",2993.139999999999873,12.000000000000000,덕정리,"0.763909774","0.234887218","0.001203008","0.891156992"
"4377035031","226.00",0.000000000000000,102.000000000000000,"0",1656.710000000000036,0.000000000000000,용대리,"0.548672566","0.451327434","0","0.791035398"
"4377035027","260.00",1.000000000000000,103.000000000000000,"1",1659.509999999999991,1.000000000000000,천평리,"0.6","0.396153846","0.003846154","0.816292308"
"4377036027","141.00",0.000000000000000,60.000000000000000,"0",1610.630000000000109,0.000000000000000,임곡리,"0.574468085","0.425531915","0","0.802978723"
"4377031028","391.00",2.000000000000000,187.000000000000000,"3",1742.559999999999945,0.000000000000000,충도리,"0.514066496","0.47826087","0.007672634","0.77798977"
"4377037023","361.00",0.000000000000000,156.000000000000000,"2",1786.470000000000027,0.000000000000000,원당리,"0.56232687","0.432132964","0.005540166","0.799506925"
"4377034030","261.00",1.000000000000000,92.000000000000000,"2",1414.720000000000027,0.000000000000000,내산리,"0.639846743","0.352490421","0.007662835","0.836222222"
"4377033027","286.00",0.000000000000000,62.000000000000000,"0",2659.090000000000146,1.000000000000000,본성리,"0.783216783","0.216783217","0","0.899629371"
"4377035026","371.00",0.000000000000000,128.000000000000000,"0",1924.789999999999964,1.000000000000000,청용리,"0.654986523","0.345013477","0","0.84025876"
"4377025324","154.00",0.000000000000000,59.000000000000000,"0",1680.660000000000082,0.000000000000000,육령리,"0.616883117","0.383116883","0","0.822616883"
"4377035022","559.00",10.000000000000000,178.000000000000000,"3",1882.230000000000018,3.000000000000000,양덕리,"0.676207513","0.31842576","0.005366726","0.852166369"
"4377037027","250.00",0.000000000000000,124.000000000000000,"1",2070.800000000000182,0.000000000000000,사곡리,"0.5","0.496","0.004","0.770052"
"4377031026","221.00",0.000000000000000,135.000000000000000,"0",1592.859999999999900,0.000000000000000,봉전리,"0.389140271","0.610859729","0","0.717171946"
"4377034023","2392.00",0.000000000000000,271.000000000000000,"1",4956.720000000000255,1.000000000000000,소석리,"0.886287625","0.113294314","0.00041806","0.947513378"
"4377025337","275.00",0.000000000000000,68.000000000000000,"2",2624.670000000000073,1.000000000000000,오선리,"0.745454545","0.247272727","0.007272727","0.884967273"
"4377032023","288.00",1.000000000000000,159.000000000000000,"3",1803.750000000000000,0.000000000000000,마송리,"0.4375","0.552083333","0.010416667","0.743604167"
"4377033025","295.00",1.000000000000000,105.000000000000000,"0",2873.800000000000182,0.000000000000000,용촌리,"0.644067797","0.355932203","0","0.83520339"
"4377037029","402.00",1.000000000000000,136.000000000000000,"2",1867.180000000000064,1.000000000000000,오궁리,"0.656716418","0.338308458","0.004975124","0.84299005"
